,experiment_id,well,_id,sample_id,experiment_reference,lab,replicate,replicate_group,replicate_group_string,strain,strain_name,strain_class,standard_type,control_type,media_type,inducer_type,inducer_concentration,inducer_concentration_unit,sample_contents,temperature,temperature_unit,timepoint,timepoint_unit,aliquot_id,total_counts,TX_plate_name,TX_project_name,TX_sample_name,flow_volume,flow_rate_uL/min,date_of_experiment,cells/mL,cells/mL_doubling_time,cells/mL_n0
0,r1e7dn636p4k69,a1,5ef26517ed52f48d4f6d89cf,sample.transcriptic.aq1e7pzs5bhgxtq.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,4,b80d464c686abcb89e63ab10c8bcd25d8fb8df9e,"UWBF_6390 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_6390,CRISPR_w303_positive_control_NOR_00_6390,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5bhgxtq,869,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,14483.333330000001,-65113860.87274201,553855.6281592811
11,r1e7dn636p4k69,a3,5ef2643e0459725ddc6f4d29,sample.transcriptic.aq1e7pzsm9yyzcq.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,9ab92b9bb83996d0203d6b51904da20dcbd5f89f,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [20.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,20.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|20.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsm9yyzcq,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,17000,200,13-Mar-2020,1764705.88235,-40838912.66724237,692763.0767437781
12,r1e7dn636p4k69,a4,5ef2647764fe727dbdd82279,sample.transcriptic.aq1e7pzs5bz9hh7.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,9414499d86a743542bc07a5c17697dd970daa115,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [10.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,10.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|10.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5bz9hh7,1121,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,18683.33333,-54588192.82493665,663860.2347616006
13,r1e7dn636p4k69,a4,5ef264856ad4b3f9e578e4ef,sample.transcriptic.aq1e7pzsav4vnu8.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,aeb6586225d87b92b96d69fb61669340e28a4cc7,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [10.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,10.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|10.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsav4vnu8,1222,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,20366.66667,-54588192.82493665,663860.2347616006
14,r1e7dn636p4k69,a4,5ef264926ad4b3f9e578e524,sample.transcriptic.aq1e7pzsfvbr86j.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,04d600170e1b1d0f3a4c713c005ae31174c5f836,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [10.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,10.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|10.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfvbr86j,23536,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,392266.66667,-54588192.82493665,663860.2347616006
15,r1e7dn636p4k69,a4,5ef2651eed52f48d4f6d89ed,sample.transcriptic.aq1e7pzsma5hsvv.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,1bad814aa573badbea6c082fbe6fdbcea0d6c546,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [10.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,10.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|10.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsma5hsvv,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,19000,200,13-Mar-2020,1578947.3684200002,-54588192.82493665,663860.2347616006
16,r1e7dn636p4k69,a5,5ef2650bc027150545481987,sample.transcriptic.aq1e7pzs5c5tb2d.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,05b76438f2c2b3633f66c961cb48420899f516a9,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [40.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,40.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|40.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5c5tb2d,2130,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,35500.0,-52206450.86473122,702222.224696833
17,r1e7dn636p4k69,a5,5ef264270459725ddc6f4cc2,sample.transcriptic.aq1e7pzsavajngb.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,e771335f0f125e53647b74e40a94eba99ef627c4,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [40.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,40.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|40.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsavajngb,1121,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,18683.33333,-52206450.86473122,702222.224696833
18,r1e7dn636p4k69,a5,5ef2655cbaa4291b05c7b972,sample.transcriptic.aq1e7pzsfvhe7tm.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,bf66eaf60b5999ff43ff846c9e9db3a020b0c8a0,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [40.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,40.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|40.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfvhe7tm,12779,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,212983.33333,-52206450.86473122,702222.224696833
19,r1e7dn636p4k69,a5,5ef2658da1681599a8ec6452,sample.transcriptic.aq1e7pzsmaa3ke3.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,5ab1f7fc795411dd3926825ce1ff0f3aa7d5aab2,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [40.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,40.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|40.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsmaa3ke3,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,16000,200,13-Mar-2020,1875000.0,-52206450.86473122,702222.224696833
20,r1e7dn636p4k69,a6,5ef264d5f3af1d5839213c46,sample.transcriptic.aq1e7pzs5cbgape.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,517dd58a1553f53194eae25aa98de3017bdb562c,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [30.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,30.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|30.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5cbgape,1447,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,24116.66667,-65057070.331453025,625272.220725653
21,r1e7dn636p4k69,a6,5ef2648c6ad4b3f9e578e50b,sample.transcriptic.aq1e7pzsavf4ezh.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,657b0f9d61e6fc1832151009aeff12ad5b3bd996,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [30.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,30.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|30.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsavf4ezh,2036,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,33933.33333,-65057070.331453025,625272.220725653
22,r1e7dn636p4k69,a6,5ef264836ad4b3f9e578e4e7,sample.transcriptic.aq1e7pzsfvnxzbt.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,a3894a62069c828218eb428eef4797a29d90a838,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [30.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,30.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|30.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfvnxzbt,10513,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,175216.66667,-65057070.331453025,625272.220725653
23,r1e7dn636p4k69,a6,5ef26510ed52f48d4f6d89af,sample.transcriptic.aq1e7pzsmafrk36.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,2,26a1901365531f6f12e1f4921759f8e178b4e9ca,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [30.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,30.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|30.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsmafrk36,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,18000,200,13-Mar-2020,1666666.6666700002,-65057070.331453025,625272.220725653
24,r1e7dn636p4k69,a7,5ef2642f0459725ddc6f4ce1,sample.transcriptic.aq1e7pzs5cg247n.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,8,70a31c43124f7460cce49e366df93c5d99329a47,"UWBF_24864 | 35.0 | [18.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,18.0,hour,aq1e7pzs5cg247n,1070,YS-TS35C-03-13-2020-T1a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,17833.33333,-105732245.42886032,477504.2730410693
25,r1e7dn636p4k69,a7,5ef2648064fe727dbdd822a6,sample.transcriptic.aq1e7pzsavmsenm.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,8,5560b4491c3809d57deabaed57a05e6f948879d4,"UWBF_24864 | 35.0 | [20.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,20.0,hour,aq1e7pzsavmsenm,836,YS-TS35C-03-13-2020-T2a,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,13933.333330000001,-105732245.42886032,477504.2730410693
26,r1e7dn636p4k69,a7,5ef2647864fe727dbdd8227b,sample.transcriptic.aq1e7pzsfvumyyw.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,8,88e152f4f067188eed456c6612bc76d5712729d9,"UWBF_24864 | 35.0 | [22.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,22.0,hour,aq1e7pzsfvumyyw,15884,YS-TS35C-03-13-2020-T3,Sytox-YeastGates,SytoxYG-Plate,60000,200,13-Mar-2020,264733.33333,-105732245.42886032,477504.2730410693
27,r1e7dn636p4k69,a7,5ef2651bed52f48d4f6d89e1,sample.transcriptic.aq1e7pzsmamackd.experiment.transcriptic.r1e7dn636p4k69,YeastSTATES-Doxycycline-OR-Gate-Plant-TF-Dose-Response,transcriptic,8,605dd26a8fd0159579048b341b63b16bee4f7c45,"UWBF_24864 | 35.0 | [24.0] | {""Synthetic_Complete"": [""""], ""doxycycline-hyclate"": [0.0]} | FLOW | NO_STANDARD_TYPE",UWBF_24864,CRISPR_CEN.PK2_positive_control_NOR_00_24864,Control,,HIGH_FITC,Synthetic_Complete,doxycycline-hyclate,0.0,nM,"['Synthetic_Complete|NA|NA', 'doxycycline-hyclate|0.0|nM']",35.0,celsius,24.0,hour,aq1e7pzsmamackd,30000,YS-TS35C-03-13-2020-T4,Sytox-YeastGates,SytoxYG-Plate,26000,200,13-Mar-2020,1153846.15385,-105732245.42886032,477504.2730410693
